[2026-04-18T10:14:11.616] PKT #0053 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 3 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.622] PKT #0054 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
[2026-04-18T10:14:11.624] PKT #0055 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.628] PKT #0056 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
[2026-04-18T10:14:11.634] PKT #0057 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
[2026-04-18T10:14:11.636] PKT #0058 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.638] PKT #0059 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
[2026-04-18T10:14:11.640] PKT #0060 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 2 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.644] PKT #0061 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.651] PKT #0062 | Proto: IPv6   | Src: fe80::206d:8bff:fe21:fc73: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 2 | IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
[2026-04-18T10:14:11.654] PKT #0063 | Proto: IPv6   | Src: fe80::b031:3eff:fe86:10: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 1 | IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
[2026-04-18T10:14:11.658] PKT #0064 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::fb: | Len: 107 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 3 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::fb
[2026-04-18T10:14:11.663] PKT #0065 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.671] PKT #0066 | Proto: IPv6   | Src: fe80::206d:8bff:fe21:fc73: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
[2026-04-18T10:14:11.675] PKT #0067 | Proto: IPv6   | Src: fe80::206d:8bff:fe21:fc73: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
[2026-04-18T10:14:11.678] PKT #0068 | Proto: IPv6   | Src: fe80::b031:3eff:fe86:10: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
