packet_id,timestamp,dpid,in_port,eth_src,eth_dst,protocol,src_ip,dst_ip,src_port,dst_port,ttl,packet_len,tcp_flags,icmp_type,icmp_code,arp_opcode,arp_src_ip,arp_dst_ip,info
3267,2026-04-18T10:19:43.289,0000000000000002,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [ACK]
3268,2026-04-18T10:19:43.422,0000000000000002,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [ACK]
3269,2026-04-18T10:19:43.571,0000000000000002,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,94,PSH|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [PSH|ACK]
3270,2026-04-18T10:19:43.700,0000000000000002,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [ACK]
3271,2026-04-18T10:19:43.828,0000000000000002,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,54,RST,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [RST]
3272,2026-04-18T10:19:43.908,0000000000000002,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [ACK]
3273,2026-04-18T10:19:43.969,0000000000000002,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [ACK]
3274,2026-04-18T10:19:44.028,0000000000000004,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,1514,PSH|ACK,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [PSH|ACK]
3275,2026-04-18T10:19:44.089,0000000000000004,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [ACK]
3276,2026-04-18T10:19:44.174,0000000000000004,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [ACK]
3277,2026-04-18T10:19:44.267,0000000000000001,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,1514,PSH|ACK,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [PSH|ACK]
3278,2026-04-18T10:19:44.368,0000000000000001,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,1514,ACK,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [ACK]
3279,2026-04-18T10:19:44.453,0000000000000003,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,1514,ACK,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [ACK]
3280,2026-04-18T10:19:44.568,0000000000000003,3,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [ACK]
3281,2026-04-18T10:19:44.708,0000000000000003,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,1514,PSH|ACK,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [PSH|ACK]
3282,2026-04-18T10:19:44.821,0000000000000002,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [ACK]
